RORO,06H00,24H00,64,136,1
PC,09H00,-,435,-,2
PC,15H40,-,366,-,3
RORO,06H00,20H00,80,160,4
RORO,08H00,24H00,45,200,5
PC,09H00,-,236,-,6
PC,09H30,-,334,-,7
RORO,13H50,23H00,100,200,9
RORO,11H40,23H30,89,180,10
RORO,12H00,D-12H00,45,210,11
RORO,16H00,24H00,60,160,12
RORO,22H20,D-16H00,34,220,13
